paper_title,arxiv_title,arxiv_link,code_link
Codified audio language modeling learns useful representations for music information retrieval,Codified audio language modeling learns useful representations for music information retrieval,http://arxiv.org/abs/2107.05677v1,https://github.com/p-lambda/jukemir
SurpriseNet: Melody Harmonization Conditioning on User-controlled Surprise Contours,SurpriseNet: Melody Harmonization Conditioning on User-controlled Surprise Contours,http://arxiv.org/abs/2108.00378v2,https://github.com/scmvp301135/SurpriseNet
MSTRE-Net: Multistreaming Acoustic Modeling for Automatic Lyrics Transcription,MSTRE-Net: Multistreaming Acoustic Modeling for Automatic Lyrics Transcription,http://arxiv.org/abs/2108.02625v1,https://github.com/emirdemirel/ALTA
Towards Automatic Instrumentation by Learning to Separate Parts in Symbolic Multitrack Music,Towards Automatic Instrumentation by Learning to Separate Parts in Symbolic Multitrack Music,http://arxiv.org/abs/2107.05916v2,https://github.com/salu133445/arranger
An Empirical Evaluation of End-to-End Polyphonic Optical Music Recognition,An Empirical Evaluation of End-to-End Polyphonic Optical Music Recognition,http://arxiv.org/abs/2108.01769v1,https://github.com/sachindae/polyphonic-omr
PKSpell: Data-Driven Pitch Spelling and Key Signature Estimation,PKSpell: Data-Driven Pitch Spelling and Key Signature Estimation,http://arxiv.org/abs/2107.14009v1,https://github.com/fosfrancesco/pkspell
An interpretable music similarity measure based on path interestingness,An Interpretable Music Similarity Measure Based on Path Interestingness,http://arxiv.org/abs/2108.01632v2,https://github.com/GiovanniGabbolini/ipsim
Leveraging Hierarchical Structures for Few-Shot Musical Instrument Recognition,Leveraging Hierarchical Structures for Few-Shot Musical Instrument Recognition,http://arxiv.org/abs/2107.07029v2,https://github.com/hugofloresgarcia/music-trees
Neural Waveshaping Synthesis,Neural Waveshaping Synthesis,http://arxiv.org/abs/2107.05050v2,https://github.com/ben-hayes/neural-waveshaping-synthesis
"BeatNet: CRNN and Particle Filtering for Online Joint Beat, Downbeat and Meter Tracking",BeatNet: CRNN and Particle Filtering for Online Joint Beat Downbeat and Meter Tracking,http://arxiv.org/abs/2108.03576v1,https://github.com/mjhydri/beatnet
A Benchmarking Initiative for Audio-domain Music Generation using the FreeSound Loop Dataset,A Benchmarking Initiative for Audio-Domain Music Generation Using the Freesound Loop Dataset,http://arxiv.org/abs/2108.01576v1,https://github.com/allenhung1025/LoopTest
Decoupling Magnitude and Phase Estimation with Deep ResUNet for Music Source Separation,Decoupling Magnitude and Phase Estimation with Deep ResUNet for Music Source Separation,http://arxiv.org/abs/2109.05418v1,https://github.com/bytedance/music_source_separation
Artist Similarity Using Graph Neural Networks,Artist Similarity with Graph Neural Networks,http://arxiv.org/abs/2107.14541v1,https://gitlab.com/fdlm/olga
Improving Polyphonic Music Models with Feature-rich Encoding,Improving Polyphonic Music Models with Feature-Rich Encoding,http://arxiv.org/abs/1911.11775v3,https://github.com/omarperacha/TonicNet
Composer Style Classification of Piano Sheet Music Images Using Language Model Pretraining,Composer Style Classification of Piano Sheet Music Images Using Language Model Pretraining,http://arxiv.org/abs/2007.14587v1,https://github.com/tjtsai/PianoStyleEmbedding
Camera-Based Piano Sheet Music Identification,Camera-Based Piano Sheet Music Identification,http://arxiv.org/abs/2007.14579v1,https://github.com/HMC-MIR/piano_bootleg_scores
Investigating U-Nets with various Intermediate Blocks for Spectrogram-based Singing Voice Separation,Investigating U-Nets with various Intermediate Blocks for Spectrogram-based Singing Voice Separation,http://arxiv.org/abs/1912.02591v3,https://github.com/ws-choi/ISMIR2020_U_Nets_SVS
Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,http://arxiv.org/abs/2104.08580v1,https://gitlab.inria.fr/amarmore/musicntd
POP909: A Pop-Song Dataset for Music Arrangement Generation,POP909: A Pop-song Dataset for Music Arrangement Generation,http://arxiv.org/abs/2008.07142v1,https://github.com/music-x-lab/POP909-Dataset
Learning Interpretable Representation for Controllable Polyphonic Music Generation ,Learning Interpretable Representation for Controllable Polyphonic Music Generation,http://arxiv.org/abs/2008.07122v1,https://github.com/ZZWaang/polyphonic-chord-texture-disentanglement
PIANOTREE VAE: Structured Representation Learning for Polyphonic Music,PIANOTREE VAE: Structured Representation Learning for Polyphonic Music,http://arxiv.org/abs/2008.07118v1,https://github.com/ZZWaang/PianoTree-VAE
Multilingual Music Genre Embeddings for Effective Cross-Lingual Music Item Annotation,Multilingual Music Genre Embeddings for Effective Cross-Lingual Music Item Annotation,http://arxiv.org/abs/2009.07755v1,https://github.com/deezer/MultilingualMusicGenreEmbedding
Content based singing voice source separation via strong conditioning using aligned phonemes,Content based singing voice source separation via strong conditioning using aligned phonemes,http://arxiv.org/abs/2008.02070v1,https://github.com/gabolsgabs/vunet
Improved Handling of Repeats and Jumps in Audio--Sheet Image Synchronization,Improved Handling of Repeats and Jumps in Audio-Sheet Image Synchronization,http://arxiv.org/abs/2007.14580v1,https://github.com/HMC-MIR/YoutubeScoreFollowing
Music SketchNet: Controllable Music Generation via Factorized Representations of Pitch and Rhythm,Music SketchNet: Controllable Music Generation via Factorized Representations of Pitch and Rhythm,http://arxiv.org/abs/2008.01291v1,https://github.com/RetroCirce/Music-SketchNet
Mood Classification Using Listening Data,Mood Classification Using Listening Data,http://arxiv.org/abs/2010.11512v1,https://github.com/fdlm/listening-moods
MusPy: A Toolkit for Symbolic Music Generation,MusPy: A Toolkit for Symbolic Music Generation,http://arxiv.org/abs/2008.01951v1,https://github.com/salu133445/muspy
Music FaderNets: Controllable Music Generation Based On High-Level Features via Low-Level Feature Modelling,Music FaderNets: Controllable Music Generation Based On High-Level Features via Low-Level Feature Modelling,http://arxiv.org/abs/2007.15474v1,https://github.com/gudgud96/music-fader-nets
