titles,year
The Million Musical Tweet Dataset - What We Can Learn From Microblogs.,2013
QBT-Extended: An Annotated Dataset of Melodically Contoured Tapped Queries.,2013
MedleyDB: A Multitrack Dataset for Annotation-Intensive MIR Research.,2014
Introducing a Dataset of Emotional and Color Responses to Music.,2014
Automatic Figured Bass Annotation Using the New Bach Chorales Figured Bass Dataset,2020
POP909: A Pop-Song Dataset for Music Arrangement Generation,2020
ASAP: a dataset of aligned scores and performances for piano transcription,2020
The Freesound Loop Dataset and Annotation Tool,2020
dMelodies: A Music Dataset for Disentanglement Learning,2020
The Million Song Dataset.,2011
"Automatic Practice Logging: Introduction, Dataset & Preliminary Study.",2016
The Music Listening Histories Dataset.,2017
FMA: A Dataset for Music Analysis.,2017
NMED-T: A Tempo-Focused Dataset of Cortical and Behavioral Responses to Naturalistic Music.,2017
Improving Genre Annotations for the Million Song Dataset.,2015
Towards Music Imagery Information Retrieval: Introducing the OpenMIIR Dataset of EEG Recordings from Music Perception and Imagination.,2015
Da-TACOS: A Dataset for Cover Song Identification and Understanding,2019
JosquIntab: A Dataset for Content-based Computational Analysis of Music in Lute Tablature,2019
A Dataset of Rhythmic Pattern Reproductions and Baseline Automatic Assessment System,2019
SAMBASET: A Dataset of Historical Samba de Enredo Recordings for Computational Music Analysis,2019
"DALI: A Large Dataset of Synchronized Audio, Lyrics and notes, Automatically Created using Teacher-student Machine Learning Paradigm.",2018
GuitarSet: A Dataset for Guitar Transcription,2018
VocalSet: A Singing Voice Dataset,2018
The NES Music Database: A multi-instrumental dataset with expressive performance attributes,2018
Audio-Aligned Jazz Harmony Dataset for Automatic Chord Transcription and Corpus-based Research,2018
Facilitating Comprehensive Benchmarking Experiments on the Million Song Dataset.,2012
Breathy or Resonant - A Controlled and Curated Dataset for Phonation Mode Detection in Singing.,2012
