titles,year
Multiscale Approaches To Music Audio Feature Learning.,2013
Transfer Learning In Mir: Sharing Learned Latent Representations For Music Audio Classification And Similarity.,2013
A Distributed Model For Multiple-Viewpoint Melodic Prediction.,2013
Learning Rhythm And Melody Features With Deep Belief Networks.,2013
A Comparative Study Of Indian And Western Music Forms.,2013
Swara Histogram Based Structural Analysis And Identification Of Indian Classical Ragas.,2013
Combining Modeling Of Singing Voice And Background Music For Automatic Separation Of Musical Mixtures.,2013
On Finding Symbolic Themes Directly From Audio Files Using Dynamic Programming.,2013
"Towards Light-Weight, Real-Time-Capable Singing Voice Detection.",2013
The Use Of Melodic Scales In Bollywood Music: An Empirical Study.,2013
Bilevel Sparse Models for Polyphonic Music Transcription.,2013
JProductionCritic: An Educational Tool for Detecting Technical Errors in Audio Mixes.,2013
Combining Timbric and Rhythmic Features for Semantic Music Tagging.,2013
The Audio Degradation Toolbox and Its Application to Robustness Evaluation.,2013
Do Online Social Tags Predict Perceived or Induced Emotional Responses to Music?,2013
A Video Compression-Based Approach to Measure Music Structural Similarity.,2013
Dunya: A System to Browse Audio Music Collections Exploiting Cultural Context.,2013
An Analysis of Chorus Features in Popular Song.,2013
Visual Humdrum-Library for PWGL.,2013
Source Separation of Polyphonic Music with Interactive User-Feedback on a Piano Roll Display.,2013
Optical Measure Recognition in Common Music Notation.,2013
Musicbrainz for The World: The Chilean Experience.,2013
Influences of ISMIR and MIREX Research on Technology Patents.,2013
Toward Understanding Expressive Percussion Through Content Based Analysis.,2013
Data Driven and Discriminative Projections for Large-Scale Cover Song Identification.,2013
"Simultaneous Unsupervised Learning of Flamenco Metrical Structure, Hypermetrical Structure, and Multipart Structural Relations.",2013
A Corpus-Based Study on Ragtime Syncopation.,2013
A Computational Comparison of Theory And Practice of Scale Intonation in Byzantine Chant.,2013
Score Informed Tonic Identification for Makam Music of Turkey.,2013
Placing Music Artists and Songs in Time Using Editorial Metadata and Web Mining Techniques.,2013
The Million Musical Tweet Dataset - What We Can Learn From Microblogs.,2013
Verifying Music Tag Annotation Via Association Analysis.,2013
The Role of Audio and Tags in Music Mood Prediction: A Study Using Semantic Layer Projection.,2013
Converting Path Structures Into Block Structures Using Eigenvalue Decompositions of Self-Similarity Matrices.,2013
The Audio Effects Ontology.,2013
Exploration of Music Emotion Recognition Based on MIDI.,2013
Rhythmic Pattern Modeling for Beat and Downbeat Tracking in Musical Audio.,2013
Large-Scale Cover Song Identification Using Chord Profiles.,2013
Automatically Identifying Vocal Expressions for Music Transcription.,2013
Hooked: A Game For Discovering What Makes Music Catchy.,2013
Hierarchical Classification of Carnatic Music Forms.,2013
A Simple Fusion Method of State And Sequence Segmentation for Music Structure Discovery.,2013
Evaluating The Quality of Generated Playlists Based on Hand-Crafted Samples.,2013
Explicit Duration Hidden Markov Models for Multiple-Instrument Polyphonic Music Transcription.,2013
A Comprehensive Online Database of Machine-Readable Lead-Sheets for Jazz Standards.,2013
MeUse: Recommending Internet Radio Stations.,2013
Improved Audio Classification Using a Novel Non-Linear Dimensionality Reduction Ensemble Approach.,2013
A Study of Ensemble Synchronisation Under Restricted Line of Sight.,2013
Groove Kernels as Rhythmic-Acoustic Motif Descriptors.,2013
