titles,year,category
Multiscale Approaches To Music Audio Feature Learning.,2013,Other
Transfer Learning In Mir: Sharing Learned Latent Representations For Music Audio Classification And Similarity.,2013,Knowledge representation
A Distributed Model For Multiple-Viewpoint Melodic Prediction.,2013,Other
Learning Rhythm And Melody Features With Deep Belief Networks.,2013,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
A Comparative Study Of Indian And Western Music Forms.,2013,Other
Swara Histogram Based Structural Analysis And Identification Of Indian Classical Ragas.,2013,Recognition / Analysis /Classification
Combining Modeling Of Singing Voice And Background Music For Automatic Separation Of Musical Mixtures.,2013,Transcription and annotations
On Finding Symbolic Themes Directly From Audio Files Using Dynamic Programming.,2013,Other
"Towards Light-Weight, Real-Time-Capable Singing Voice Detection.",2013,Transcription and annotations
The Use Of Melodic Scales In Bollywood Music: An Empirical Study.,2013,Other
Bilevel Sparse Models for Polyphonic Music Transcription.,2013,Similarity
JProductionCritic: An Educational Tool for Detecting Technical Errors in Audio Mixes.,2013,Other
Combining Timbric and Rhythmic Features for Semantic Music Tagging.,2013,Recognition / Analysis /Classification
The Audio Degradation Toolbox and Its Application to Robustness Evaluation.,2013,Other
Do Online Social Tags Predict Perceived or Induced Emotional Responses to Music?,2013,Other
A Video Compression-Based Approach to Measure Music Structural Similarity.,2013,Systems issues
Dunya: A System to Browse Audio Music Collections Exploiting Cultural Context.,2013,Other
An Analysis of Chorus Features in Popular Song.,2013,Recognition / Analysis /Classification
Visual Humdrum-Library for PWGL.,2013,Other
Source Separation of Polyphonic Music with Interactive User-Feedback on a Piano Roll Display.,2013,"Transcription and annotations,Similarity"
Optical Measure Recognition in Common Music Notation.,2013,Recognition / Analysis /Classification
Musicbrainz for The World: The Chilean Experience.,2013,Other
Influences of ISMIR and MIREX Research on Technology Patents.,2013,Other
Toward Understanding Expressive Percussion Through Content Based Analysis.,2013,Other
Data Driven and Discriminative Projections for Large-Scale Cover Song Identification.,2013,Other
"Simultaneous Unsupervised Learning of Flamenco Metrical Structure, Hypermetrical Structure, and Multipart Structural Relations.",2013,Other
A Corpus-Based Study on Ragtime Syncopation.,2013,Other
A Computational Comparison of Theory And Practice of Scale Intonation in Byzantine Chant.,2013,Other
Score Informed Tonic Identification for Makam Music of Turkey.,2013,Transcription and annotations
Placing Music Artists and Songs in Time Using Editorial Metadata and Web Mining Techniques.,2013,Other
The Million Musical Tweet Dataset - What We Can Learn From Microblogs.,2013,Corpora and databases
Verifying Music Tag Annotation Via Association Analysis.,2013,Other
The Role of Audio and Tags in Music Mood Prediction: A Study Using Semantic Layer Projection.,2013,Other
Converting Path Structures Into Block Structures Using Eigenvalue Decompositions of Self-Similarity Matrices.,2013,Similarity
The Audio Effects Ontology.,2013,Other
Exploration of Music Emotion Recognition Based on MIDI.,2013,Recognition / Analysis /Classification
Rhythmic Pattern Modeling for Beat and Downbeat Tracking in Musical Audio.,2013,"Transcription and annotations,Recognition / Analysis /Classification"
Large-Scale Cover Song Identification Using Chord Profiles.,2013,Other
Automatically Identifying Vocal Expressions for Music Transcription.,2013,Other
Hooked: A Game For Discovering What Makes Music Catchy.,2013,Other
