titles,year,category
Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,2020,Recognition / Analysis /Classification
POP909: A Pop-Song Dataset for Music Arrangement Generation,2020,Corpora and databases
Audio to Score Matching by Combining Phonetic and Duration Information.,2017,Transcription and annotations
Optical Music Recognition with Convolutional Sequence-to-Sequence Models.,2017,Recognition / Analysis /Classification
Supervised Symbolic Music Style Translation Using Synthetic Data,2019,Similarity
Deep Music Analogy Via Latent Representation Disentanglement,2019,Other
Using Musical Relationships Between Chord Labels in Automatic Chord Extraction Tasks,2018,Recognition / Analysis /Classification
"Multi-Label Music Genre Classification from Audio, Text and Images Using Deep Features.",2017,"Knowledge representation,Similarity"
A Collection of Music Scores for Corpus Based Jingju Singing Research.,2017,Other
Monaural Score-Informed Source Separation for Classical Music Using Convolutional Neural Networks.,2017,Transcription and annotations
Deep Salience Representations for F0 Estimation in Polyphonic Music.,2017,Similarity
An Analysis/Synthesis Framework for Automatic F0 Annotation of Multitrack Datasets.,2017,Other
Quantifying Music Trends and Facts Using Editorial Metadata from the Discogs Database.,2017,Other
Decoding Neurally Relevant Musical Features Using Canonical Correlation Analysis.,2017,Recognition / Analysis /Classification
Transfer Learning for Music Classification and Regression Tasks.,2017,Knowledge representation
A Formalization of Relative Local Tempo Variations in Collections of Performances.,2017,Transcription and annotations
Structured Training for Large-Vocabulary Chord Recognition.,2017,Other
Counterpoint by Convolution.,2017,Other
A Music Player with Song Selection Function for a Group of People.,2017,Other
FMA: A Dataset for Music Analysis.,2017,Corpora and databases
MidiNet: A Convolutional Generative Adversarial Network for Symbolic-Domain Music Generation.,2017,Other
"PiPo, a Plugin Interface for Afferent Data Stream Processing Operators.",2017,Human-computer interaction and interfaces
Score-Informed Syllable Segmentation for A Cappella Singing Voice with Convolutional Neural Networks.,2017,"Transcription and annotations,Recognition / Analysis /Classification"
Understanding the Expressive Functions of Jingju Metrical Patterns Through Lyrics Text Mining.,2017,Transcription and annotations
A Metric for Music Notation Transcription Accuracy.,2017,Transcription and annotations
A Multiobjective Music Recommendation Approach for Aspect-Based Diversification.,2017,Recognition / Analysis /Classification
Automatic Interpretation of Music Structure Analyses: A Validated Technique for Post-Hoc Estimation of the Rationale for an Annotation.,2017,Other
Automatic Stylistic Composition of Bach Chorales with Deep LSTM.,2017,Other
Improving Note Segmentation in Automatic Piano Music Transcription Systems with a Two-State Pitch-Wise HMM Method.,2017,"Transcription and annotations,Recognition / Analysis /Classification"
Large Vocabulary Automatic Chord Estimation with an Even Chance Training Scheme.,2017,Other
