titles,year
Uncovering audio patterns in music with Nonnegative Tucker Decomposition for structural segmentation,2020
POP909: A Pop-Song Dataset for Music Arrangement Generation,2020
Audio to Score Matching by Combining Phonetic and Duration Information.,2017
Optical Music Recognition with Convolutional Sequence-to-Sequence Models.,2017
Supervised Symbolic Music Style Translation Using Synthetic Data,2019
Deep Music Analogy Via Latent Representation Disentanglement,2019
Using Musical Relationships Between Chord Labels in Automatic Chord Extraction Tasks,2018
"Multi-Label Music Genre Classification from Audio, Text and Images Using Deep Features.",2017
A Collection of Music Scores for Corpus Based Jingju Singing Research.,2017
Monaural Score-Informed Source Separation for Classical Music Using Convolutional Neural Networks.,2017
Deep Salience Representations for F0 Estimation in Polyphonic Music.,2017
An Analysis/Synthesis Framework for Automatic F0 Annotation of Multitrack Datasets.,2017
Quantifying Music Trends and Facts Using Editorial Metadata from the Discogs Database.,2017
Decoding Neurally Relevant Musical Features Using Canonical Correlation Analysis.,2017
Transfer Learning for Music Classification and Regression Tasks.,2017
A Formalization of Relative Local Tempo Variations in Collections of Performances.,2017
Structured Training for Large-Vocabulary Chord Recognition.,2017
Counterpoint by Convolution.,2017
A Music Player with Song Selection Function for a Group of People.,2017
FMA: A Dataset for Music Analysis.,2017
MidiNet: A Convolutional Generative Adversarial Network for Symbolic-Domain Music Generation.,2017
"PiPo, a Plugin Interface for Afferent Data Stream Processing Operators.",2017
Score-Informed Syllable Segmentation for A Cappella Singing Voice with Convolutional Neural Networks.,2017
Understanding the Expressive Functions of Jingju Metrical Patterns Through Lyrics Text Mining.,2017
A Metric for Music Notation Transcription Accuracy.,2017
A Multiobjective Music Recommendation Approach for Aspect-Based Diversification.,2017
Automatic Interpretation of Music Structure Analyses: A Validated Technique for Post-Hoc Estimation of the Rationale for an Annotation.,2017
Automatic Stylistic Composition of Bach Chorales with Deep LSTM.,2017
Improving Note Segmentation in Automatic Piano Music Transcription Systems with a Two-State Pitch-Wise HMM Method.,2017
Large Vocabulary Automatic Chord Estimation with an Even Chance Training Scheme.,2017
A Database Linking Piano and Orchestral MIDI Scores with Application to Automatic Projective Orchestration.,2017
Analysis of Interactive Intonation in Unaccompanied SATB Ensembles.,2017
Automatic Drum Transcription for Polyphonic Recordings Using Soft Attention Mechanisms and Convolutional Neural Networks.,2017
Automatic Drum Transcription Using the Student-Teacher Learning Paradigm with Unlabeled Music Data.,2017
In Search of the Consensus Among Musical Pattern Discovery Algorithms.,2017
Lyrics-Based Music Genre Classification Using a Hierarchical Attention Network.,2017
Metrical-Accent Aware Vocal Onset Detection in Polyphonic Audio.,2017
Re-Visiting the Music Segmentation Problem with Crowdsourcing.,2017
Melodic Similarity in Traditional French-Canadian Instrumental Dance Tunes.,2015
Music Pattern Discovery with Variable Markov Oracle: A Unified Approach to Symbolic and Audio Representations.,2015
Selective Acquisition Techniques for Enculturation-Based Melodic Phrase Segmentation.,2015
Corpus Analysis Tools for Computational Hook Discovery.,2015
A Software Framework for Musical Data Augmentation.,2015
Drum Transcription Using Partially Fixed Non-Negative Matrix Factorization with Template Adaptation.,2015
Beat and Downbeat Tracking Based on Rhythmic Patterns Applied to the Uruguayan Candombe Drumming.,2015
Content-Aware Collaborative Music Recommendation Using Pre-trained Neural Networks.,2015
Combining Features for Cover Song Identification.,2015
Melody Extraction by Contour Classification.,2015
Comparison of the Singing Style of Two Jingju Schools.,2015
Improving Optical Music Recognition by Combining Outputs from Multiple Sources.,2015
A Comparison of Symbolic Similarity Measures for Finding Occurrences of Melodic Segments.,2015
Four Timely Insights on Automatic Chord Estimation.,2015
Searching Lyrical Phrases in A-Capella Turkish Makam Recordings.,2015
Towards Music Imagery Information Retrieval: Introducing the OpenMIIR Dataset of EEG Recordings from Music Perception and Imagination.,2015
AcousticBrainz: A Community Platform for Gathering Music Information Obtained from Audio.,2015
SiMPle: Assessing Music Similarity Using Subsequences Joins.,2016
Feature Learning for Chord Recognition: The Deep Chroma Extractor.,2016
A Corpus of Annotated Irish Traditional Dance Music Recordings: Design and Benchmark Evaluations.,2016
AVA: An Interactive System for Visual and Quantitative Analyses of Vibrato and Portamento Performance Styles.,2016
Downbeat Tracking Using Beat Synchronous Features with Recurrent Neural Networks.,2016
Enhancing Cover Song Identification with Hierarchical Rank Aggregation.,2016
Further Steps Towards a Standard Testbed for Optical Music Recognition.,2016
Learning and Visualizing Music Specifications Using Pattern Graphs.,2016
Tempo Estimation for Music Loops and a Simple Confidence Measure.,2016
Brain Beats: Tempo Extraction from EEG Data.,2016
Aligned Hierarchies: A Multi-Scale Structure-Based Representation for Music-Based Data Streams.,2016
Analysing Scattering-Based Music Content Analysis Systems: Where's the Music?.,2016
Two (Note) Heads Are Better Than One: Pen-Based Multimodal Interaction with Music Scores.,2016
Systematic Exploration of Computational Music Structure Research.,2016
A Comparison of Melody Extraction Methods Based on Source-Filter Modelling.,2016
Deep Convolutional Networks on the Pitch Spiral For Music Instrument Recognition.,2016
Global Properties of Expert and Algorithmic Hierarchical Music Analyses.,2016
On the Use of Note Onsets for Improved Lyrics-To-Audio Alignment in Turkish Makam Music.,2016
Automatic Melodic Reduction Using a Supervised Probabilistic Context-Free Grammar.,2016
Extracting Ground-Truth Information from MIDI Files: A MIDIfesto.,2016
A Hybrid Gaussian-HMM-Deep Learning Approach for Automatic Chord Estimation with Very Large Vocabulary.,2016
The Audio Degradation Toolbox and Its Application to Robustness Evaluation.,2013
Visual Humdrum-Library for PWGL.,2013
Optical Measure Recognition in Common Music Notation.,2013
