titles,code
,False
"Multi-Label Music Genre Classification from Audio, Text and Images Using Deep Features.",True
The Significance of the Low Complexity Dimension in Music Similarity Judgements.,False
Towards Computational Modeling of the Ungrammatical in a Raga Performance.,False
A Collection of Music Scores for Corpus Based Jingju Singing Research.,True
Monaural Score-Informed Source Separation for Classical Music Using Convolutional Neural Networks.,True
Deep Salience Representations for F0 Estimation in Polyphonic Music.,True
An Analysis/Synthesis Framework for Automatic F0 Annotation of Multitrack Datasets.,True
Make Your Own Accompaniment: Adapting Full-Mix Recordings to Match Solo-Only User Recordings.,False
Quantifying Music Trends and Facts Using Editorial Metadata from the Discogs Database.,True
The Music Listening Histories Dataset.,False
"Artist Preferences and Cultural, Socio-Economic Distances Across Countries: A Big Data Perspective.",False
Learning Audio-Sheet Music Correspondences for Score Identification and Offline Alignment.,False
Video-Based Vibrato Detection and Analysis for Polyphonic String Music.,False
Decoding Neurally Relevant Musical Features Using Canonical Correlation Analysis.,True
Transfer Learning for Music Classification and Regression Tasks.,True
Drum Transcription via Joint Beat and Drum Modeling Using Convolutional Recurrent Neural Networks.,False
A Formalization of Relative Local Tempo Variations in Collections of Performances.,True
Sampling Variations of Sequences for Structured Music Generation.,False
Quantized Melodic Contours in Indian Art Music Perception: Application to Transcription.,False
Modeling the Multiscale Structure of Chord Sequences Using Polytopic Graphs.,False
Structured Training for Large-Vocabulary Chord Recognition.,True
Modeling and Digitizing Reproducing Piano Rolls.,False
Comparing Offertory Melodies of Five Medieval Christian Chant Traditions.,False
Counterpoint by Convolution.,True
"A Framework for Distributed Semantic Annotation of Musical Score: ""Take It to the Bridge!"".",False
A Music Player with Song Selection Function for a Group of People.,True
A Post-Processing Procedure for Improving Music Tempo Estimates Using Supervised Learning.,False
A Statistical Analysis of Gamakas in Carnatic Music.,False
Accurate Audio-to-Score Alignment for Expressive Violin Recordings.,False
Acoustic Features for Determining Goodness of Tabla Strokes.,False
Automatic Sample Detection in Polyphonic Music.,False
Chord Recognition in Symbolic Music Using Semi-Markov Conditional Random Fields.,False
Confidence Measures and Their Applications in Music Labelling Systems Based on Hidden Markov Models.,False
Convolutional Neural Networks for Real-Time Beat Tracking: A Dancing Robot Application.,False
Early MFCC and HPCP Fusion for Robust Cover Song Identification.,False
Exploring the Music Library Association Mailing List: A Text Mining Approach.,False
