titles,arxiv_links
Four-way Classification of Tabla Strokes with Models Adapted from Automatic Drum Transcription,http://arxiv.org/abs/2104.09064v1
A Contextual Latent Space Model: Subsequence Modulation in Melodic Sequence,http://arxiv.org/abs/1206.6441v1
OMR-assisted transcription: a case study with early prints,http://arxiv.org/abs/1809.05501v1
Deeper Convolutional Neural Networks and Broad Augmentation Policies Improve Performance in Musical Key Estimation,http://arxiv.org/abs/2007.09296v1
The Music Performance Markup Format and Ecosystem,http://arxiv.org/abs/0712.4219v1
Identification of rhythm guitar sections in symbolic tablatures,http://arxiv.org/abs/2107.14653v1
On-Line Audio-to-Lyrics Alignment Based on a Reference Performance,http://arxiv.org/abs/1512.02393v2
Visualizing Intertextual Form with Arc Diagrams: Contour and Schema-based Methods,http://arxiv.org/abs/0803.4074v2
Unsupervised Domain Adaptation for Document Analysis of Music Score Images,http://arxiv.org/abs/1804.00347v1
Codified audio language modeling learns useful representations for music information retrieval,http://arxiv.org/abs/2107.05677v1
Variable-Length Music Score Infilling via XLNet and Musically Specialized Positional Encoding,http://arxiv.org/abs/2108.05064v1
SurpriseNet: Melody Harmonization Conditioning on User-controlled Surprise Contours,http://arxiv.org/abs/2108.00378v2
Semi-supervised violin fingering generation using variational autoencoders,http://arxiv.org/abs/1111.6410v2
"Listen, Read, and Identify: Multimodal Singing Language Identification of Music",http://arxiv.org/abs/2103.01893v4
On Perceived Emotion in Expressive Piano Performance: Further Experimental Evidence for the Relevance of Mid-level Perceptual Features,http://arxiv.org/abs/2107.13231v1
Cosine Contours: a Multipurpose Representation for Melodies,http://arxiv.org/abs/2106.00934v1
Controllable deep melody generation via hierarchical music structure representation,http://arxiv.org/abs/2109.00663v1
MSTRE-Net: Multistreaming Acoustic Modeling for Automatic Lyrics Transcription,http://arxiv.org/abs/2108.02625v1
Towards Automatic Instrumentation by Learning to Separate Parts in Symbolic Multitrack Music,http://arxiv.org/abs/2107.05916v2
An Empirical Evaluation of End-to-End Polyphonic Optical Music Recognition,http://arxiv.org/abs/2108.01769v1
A Hardanger Fiddle Dataset with Performances Spanning Emotional Expressions and Annotations Aligned using Image Registration,http://arxiv.org/abs/1910.11090v1
Building the MetaMIDI Dataset: Linking Symbolic and Audio Musical Data,http://arxiv.org/abs/2111.02034v1
Modeling and Inferring Proto-Voice Structure in Free Polyphony,http://arxiv.org/abs/1811.08045v2
PKSpell: Data-Driven Pitch Spelling and Key Signature Estimation,http://arxiv.org/abs/2107.14009v1
Filosax: A Dataset of Annotated Jazz Saxophone Recordings,http://arxiv.org/abs/1908.09484v1
An interpretable music similarity measure based on path interestingness,http://arxiv.org/abs/2108.01632v2
Leveraging Hierarchical Structures for Few-Shot Musical Instrument Recognition,http://arxiv.org/abs/2107.07029v2
What if the 'When' Implies the 'What'?: Human harmonic analysis datasets clarify the relative role of the separate steps in automatic tonal analysis,http://arxiv.org/abs/2107.06217v1
Let's agree to disagree: Consensus Entropy Active Learning for Personalized Music Emotion Recognition,http://arxiv.org/abs/1909.01891v1
Sequence-to-Sequence Piano Transcription with Transformers,http://arxiv.org/abs/2108.10382v2
Neural Waveshaping Synthesis,http://arxiv.org/abs/2107.05050v2
A semi-automated workflow paradigm for the distributed creation and curation of expert annotations,http://arxiv.org/abs/2004.14130v1
"BeatNet: CRNN and Particle Filtering for Online Joint Beat, Downbeat and Meter Tracking",http://arxiv.org/abs/2108.03576v1
Joint Estimation of Note Values and Voices for Audio-to-Score Piano Transcription,http://arxiv.org/abs/1703.08144v3
Learning note-to-note affinity for voice segregation and melody line identification of symbolic music data,http://arxiv.org/abs/1812.10906v1
